current_time, send_sequence, highest_ack, high_ack_time, latest_time_ack, cwin, one_way_delay, rtt_sample, smoothed_rtt, rtt_min, bw_e, recv_rate, send_mtu, packet_time, nb_retrans, nb_spurious, cwin_blocked, flow_blocked, stream_blocked, cc_state, cc_param, peak_bandwidth_estimate, bytes_in_transit, bwe_path_limited
22440,0,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,50,0,
22440,1,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,389,0,
22440,2,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,1641,0,
22440,3,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,2893,0,
22733,4,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,4145,0,
24167,5,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,5397,0,
25602,6,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,6649,0,
27037,7,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,7901,0,
28472,8,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,9153,0,
29906,9,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,10405,0,
31341,10,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,11657,0,
32776,11,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,12909,0,
34210,12,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,14161,0,
35645,13,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,15413,0,
42754,14,-1,0,0,15360,0,22002,22002,22002,0,0,1252,1435,0,0,0,0,0,0,0,0,16526,0,
43754,14,0,43754,22440,15360,0,21314,22002,21314,15196,0,1252,1435,0,0,1,0,0,0,0,0,16276,1,
43754,15,0,43754,22440,15360,0,21314,22002,21314,15196,0,1252,1435,0,0,1,0,0,0,0,0,16331,1,
44755,15,1,44755,22440,15360,0,22315,21978,21314,69309,71924,1252,1434,0,0,1,0,0,0,0,1234765,15079,1,
44755,16,1,44755,22440,15360,0,22315,21978,21314,69309,71924,1252,1434,0,0,0,0,0,0,0,1234765,16331,1,
45756,16,2,45756,22440,15360,0,23316,22145,21314,118422,71924,1252,1445,0,0,1,0,0,0,0,1234765,15079,1,
45756,17,2,45756,22440,15360,0,23316,22145,21314,118422,71924,1252,1445,0,0,0,0,0,0,0,1234765,16331,1,
46757,17,3,46757,22733,16596,0,24024,22379,21314,163562,71924,1252,1351,0,0,1,0,0,0,0,1234765,15079,1,
46757,18,3,46757,22733,16596,0,24024,22379,21314,163562,71924,1252,1351,0,0,0,0,0,0,0,1234765,16331,1,
46757,19,3,46757,22733,16596,0,24024,22379,21314,163562,71924,1252,1351,0,0,0,0,0,0,0,1234765,17583,1,
47758,19,4,47758,24167,17832,0,23591,22530,21314,205194,71924,1252,1266,0,0,1,0,0,0,0,1234765,16331,1,
47758,20,4,47758,24167,17832,0,23591,22530,21314,205194,71924,1252,1266,0,0,0,0,0,0,0,1234765,17583,1,
48469,21,4,47758,24167,17832,0,23591,22530,21314,205194,71924,1252,1266,0,0,0,0,0,0,0,1234765,18835,1,
48759,21,5,48759,25602,19068,0,23157,22608,21314,243711,71924,1252,1188,0,0,0,0,0,0,0,1234765,17583,1,
49657,22,5,48759,25602,19068,0,23157,22608,21314,243711,71924,1252,1188,0,0,0,0,0,0,0,1234765,18835,1,
49760,22,6,49760,27037,20304,0,22723,22622,21314,279450,71924,1252,1116,0,0,0,0,0,0,0,1234765,17583,1,
50761,22,7,50761,28472,21540,0,22289,22580,21314,312702,71924,1252,1050,0,0,0,0,0,0,0,1234765,16331,1,
50761,23,7,50761,28472,21540,0,22289,22580,21314,312702,71924,1252,1050,0,0,0,0,0,0,0,1234765,17583,1,
51757,24,7,50761,28472,21540,0,22289,22580,21314,312702,71924,1252,1050,0,0,0,0,0,0,0,1234765,18835,1,
51950,24,8,51950,29906,22776,0,22044,22513,21314,341558,71924,1252,991,0,0,0,0,0,0,0,1234765,17583,1,
52747,25,8,51950,29906,22776,0,22044,22513,21314,341558,71924,1252,991,0,0,0,0,0,0,0,1234765,18835,1,
53385,25,9,53385,31341,24012,0,22044,22454,21314,365325,71924,1252,937,0,0,0,0,0,0,0,1234765,17583,1,
53683,26,9,53385,31341,24012,0,22044,22454,21314,365325,71924,1252,937,0,0,0,0,0,0,0,1234765,18835,1,
54620,27,9,53385,31341,24012,0,22044,22454,21314,365325,71924,1252,937,0,0,0,0,0,0,0,1234765,20087,1,
54820,27,10,54820,32776,25248,0,22044,22402,21314,387013,71924,1252,889,0,0,0,0,0,0,0,1234765,18835,1,
55509,28,10,54820,32776,25248,0,22044,22402,21314,387013,71924,1252,889,0,0,0,0,0,0,0,1234765,20087,1,
56254,28,11,56254,34210,26484,0,22044,22357,21314,406895,71924,1252,846,0,0,0,0,0,0,0,1234765,18835,1,
56354,29,11,56254,34210,26484,0,22044,22357,21314,406895,71924,1252,846,0,0,0,0,0,0,0,1234765,20087,1,
57200,30,11,56254,34210,26484,0,22044,22357,21314,406895,71924,1252,846,0,0,0,0,0,0,0,1234765,21339,1,
57689,30,12,57689,35645,27720,0,22044,22317,21314,425168,71924,1252,807,0,0,0,0,0,0,0,1234765,20087,1,
58006,31,12,57689,35645,27720,0,22044,22317,21314,425168,71924,1252,807,0,0,0,0,0,0,0,1234765,21339,1,
58812,32,12,57689,35645,27720,0,22044,22317,21314,425168,71924,1252,807,0,0,0,0,0,0,0,1234765,22591,1,
59619,33,12,57689,35645,27720,0,22044,22317,21314,425168,71924,1252,807,0,0,0,0,0,0,0,1234765,23843,1,
60425,34,12,57689,35645,27720,0,22044,22317,21314,425168,71924,1252,807,0,0,0,0,0,0,0,1234765,25095,1,
61232,35,12,57689,35645,27720,0,22044,22317,21314,425168,71924,1252,807,0,0,0,0,0,0,0,1234765,26347,1,
62038,36,12,57689,35645,27720,0,22044,22317,21314,425168,71924,1252,807,0,0,0,0,0,0,0,1234765,27599,1,
62844,37,12,57689,35645,27720,0,22044,22317,21314,425168,71924,1252,807,0,0,0,0,0,0,0,1234765,28851,1,
63841,37,14,63841,43754,28995,0,20087,22038,20087,755700,71924,1252,762,0,0,1,0,0,0,0,1234765,27544,0,
63841,38,14,63841,43754,28995,0,20087,22038,20087,755700,71924,1252,762,0,0,0,0,0,0,0,1234765,28796,0,
64367,39,14,63841,43754,28995,0,20087,22038,20087,755700,71924,1252,762,0,0,0,0,0,0,0,1234765,30048,0,
66800,39,16,66800,45756,31467,0,21044,21913,20087,690813,32433,1252,698,0,0,1,0,0,0,0,1234765,27544,0,
66800,40,16,66800,45756,31467,0,21044,21913,20087,690813,32433,1252,698,0,0,0,0,0,0,0,1234765,28796,0,
66800,41,16,66800,45756,31467,0,21044,21913,20087,690813,32433,1252,698,0,0,0,0,0,0,0,1234765,30048,0,
66800,42,16,66800,45756,31467,0,21044,21913,20087,690813,32433,1252,698,0,0,0,0,0,0,0,1234765,31300,0,
67157,43,16,66800,45756,31467,0,21044,21913,20087,690813,32433,1252,698,0,0,0,0,0,0,0,1234765,32552,0,
68802,43,18,68802,46757,33939,0,22045,21929,20087,721903,32433,1252,648,0,0,1,0,0,0,0,1234765,30048,0,
68802,44,18,68802,46757,33939,0,22045,21929,20087,721903,32433,1252,648,0,0,0,0,0,0,0,1234765,31300,0,
68802,45,18,68802,46757,33939,0,22045,21929,20087,721903,32433,1252,648,0,0,0,0,0,0,0,1234765,32552,0,
69098,46,18,68802,46757,33939,0,22045,21929,20087,721903,32433,1252,648,0,0,0,0,0,0,0,1234765,33804,0,
69746,47,18,68802,46757,33939,0,22045,21929,20087,721903,32433,1252,648,0,0,0,0,0,0,0,1234765,35056,0,
70804,47,20,70804,48469,36411,0,22335,21979,20087,764504,32433,1252,605,0,0,1,0,0,0,0,1234765,32552,0,
70804,48,20,70804,48469,36411,0,22335,21979,20087,764504,32433,1252,605,0,0,0,0,0,0,0,1234765,33804,0,
70955,49,20,70804,48469,36411,0,22335,21979,20087,764504,32433,1252,605,0,0,0,0,0,0,0,1234765,35056,0,
71559,50,20,70804,48469,36411,0,22335,21979,20087,764504,32433,1252,605,0,0,0,0,0,0,0,1234765,36308,0,
72164,51,20,70804,48469,36411,0,22335,21979,20087,764504,32433,1252,605,0,0,0,0,0,0,0,1234765,37560,0,
72806,51,22,72806,50761,38883,0,22045,21987,20087,778096,32433,1252,567,0,0,1,0,0,0,0,1234765,35056,0,
72806,52,22,72806,50761,38883,0,22045,21987,20087,778096,32433,1252,567,0,0,0,0,0,0,0,1234765,36308,0,
73297,53,22,72806,50761,38883,0,22045,21987,20087,778096,32433,1252,567,0,0,0,0,0,0,0,1234765,37560,0,
73863,54,22,72806,50761,38883,0,22045,21987,20087,778096,32433,1252,567,0,0,0,0,0,0,0,1234765,38812,0,
74429,55,22,72806,50761,38883,0,22045,21987,20087,778096,32433,1252,567,0,0,0,0,0,0,0,1234765,40064,0,
74808,55,24,74808,52747,41355,0,22061,21996,20087,812800,32433,1252,533,0,0,0,0,0,0,0,1234765,37560,0,
74962,56,24,74808,52747,41355,0,22061,21996,20087,812800,32433,1252,533,0,0,0,0,1,0,0,1234765,38627,0,
75416,57,24,74808,52747,41355,0,22061,21996,20087,812800,32433,1252,533,0,0,0,0,1,0,0,1234765,38682,0,
75440,58,24,74808,52747,41355,0,22061,21996,20087,812800,32433,1252,533,0,0,0,0,1,0,0,1234765,40122,0,
76810,58,26,76810,54620,41355,0,22190,22020,20087,845891,32433,1252,534,0,0,0,0,1,0,0,1234765,37618,0,
78812,58,28,78812,56354,41355,0,22458,22074,20087,878402,32433,1252,535,0,0,0,0,1,0,0,1234765,35114,0,
78812,59,28,78812,56354,41355,0,22458,22074,20087,878402,32433,1252,535,0,0,0,0,0,0,0,1234765,36366,0,
78812,60,28,78812,56354,41355,0,22458,22074,20087,878402,32433,1252,535,0,0,0,0,0,0,0,1234765,37618,0,
78812,61,28,78812,56354,41355,0,22458,22074,20087,878402,32433,1252,535,0,0,0,0,0,0,0,1234765,38870,0,
78812,62,28,78812,56354,41355,0,22458,22074,20087,878402,32433,1252,535,0,0,0,0,0,0,0,1234765,40122,0,
78812,63,28,78812,56354,41355,0,22458,22074,20087,878402,32433,1252,535,0,0,0,0,0,0,0,1234765,41374,0,
80814,63,30,80814,58006,41355,0,22808,22165,20087,910313,32433,1252,537,0,0,1,0,0,0,0,1234765,38870,0,
80814,64,30,80814,58006,41355,0,22808,22165,20087,910313,32433,1252,537,0,0,0,0,0,0,0,1234765,40122,0,
80814,65,30,80814,58006,41355,0,22808,22165,20087,910313,32433,1252,537,0,0,0,0,0,0,0,1234765,41374,0,
82816,65,32,82816,59619,41355,0,23197,22294,20087,936164,32433,1252,540,0,0,1,0,0,0,0,1234765,38870,0,
82816,66,32,82816,59619,41355,0,23197,22294,20087,936164,32433,1252,540,0,0,0,0,0,0,0,1234765,40122,0,
82816,67,32,82816,59619,41355,0,23197,22294,20087,936164,32433,1252,540,0,0,0,0,0,0,0,1234765,41374,0,
84818,67,34,84818,61232,41355,0,23586,22455,20087,958199,32433,1252,544,0,0,1,0,0,0,0,1234765,38870,0,
84818,68,34,84818,61232,41355,0,23586,22455,20087,958199,32433,1252,544,0,0,0,0,0,0,0,1234765,40122,0,
84818,69,34,84818,61232,41355,0,23586,22455,20087,958199,32433,1252,544,0,0,0,0,0,0,0,1234765,41374,0,
86820,69,36,86820,62844,41355,0,23976,22645,20087,977206,32433,1252,549,0,0,1,0,0,0,0,1234765,38870,0,
86820,70,36,86820,62844,41355,0,23976,22645,20087,977206,32433,1252,549,0,0,0,0,0,0,0,1234765,40122,0,
86820,71,36,86820,62844,41355,0,23976,22645,20087,977206,32433,1252,549,0,0,0,0,0,0,0,1234765,41374,0,
88822,71,38,88822,64367,41355,0,24455,22871,20087,1187462,32433,1252,554,0,0,1,0,0,0,0,1234765,38870,0,
88822,72,38,88822,64367,41355,0,24455,22871,20087,1187462,32433,1252,554,0,0,0,0,0,0,0,1234765,40122,0,
88822,73,38,88822,64367,41355,0,24455,22871,20087,1187462,32433,1252,554,0,0,0,0,0,0,0,1234765,41374,0,
